category,subcategory,name,state
0,130,PUERTO VICENTE GUERRERO,GUERRERO
0,131,PUNTA MALDONADO,GUERRERO
0,132,REVOLCADERO,GUERRERO
0,133,TAMARINDOS,GUERRERO
0,134,TRONCONES,GUERRERO
0,135,BAHIA DE BANDERAS,JALISCO
0,136,BAHIA DE CHAMELA,JALISCO
0,137,BAHIA DE TENACATITA,JALISCO
0,138,BARRA DE NAVIDAD,JALISCO
0,139,BOCA DE IGUANAS,JALISCO
0,140,BOCA DE TOMATES,JALISCO
0,141,BOCA DE TOMATLAN,JALISCO
0,142,CABO CORRIENTES,JALISCO
0,143,CAREYES,JALISCO
0,144,CHALACATEPEC,JALISCO
0,145,CORRALES,JALISCO
0,146,COSTALEGRE,JALISCO
0,147,CRUZ DE HUANACAXTLE,JALISCO
0,148,EL SALADO,JALISCO
0,149,EL TECUAN,JALISCO
0,150,LAS ANIMAS,JALISCO
0,151,LAS GLORIAS,JALISCO
0,152,LA MANZANILLA,JALISCO
0,153,MAJAHUAS,JALISCO
0,154,MAJAHUITAS,JALISCO
0,155,MELAQUE,JALISCO
0,156,MISMALOYA,JALISCO
0,157,PLAYA DE ORO,JALISCO
0,158,PLAYA DORADA,JALISCO
0,159,PLAYA LAS ESTACAS,JALISCO
0,160,PLAYA LOS MUERTOS,JALISCO
0,161,PUERTO VALLARTA,JALISCO
0,162,PUNTA PERULA,JALISCO
0,163,PUNTA PEÑITAS,JALISCO
0,164,QUIMIXTO,JALISCO
0,165,TEHUAMIXTLE,JALISCO
0,166,YELAPA,JALISCO
0,167,BARRA DE NEXPA,MICHOACAN
0,168,BARRA DE PICHI,MICHOACAN
0,169,BOCA DE APIZA,MICHOACAN
0,170,CALETA DE CAMPOS,MICHOACAN
0,171,EL MALACATE,MICHOACAN
0,172,FARO DE BUCERIAS,MICHOACAN
0,173,HUAHUA,MICHOACAN
0,174,IXTAPILLAS,MICHOACAN
0,175,JARDIN,MICHOACAN
0,176,LAS PEÑAS,MICHOACAN
0,177,LAZARO CARDENAS,MICHOACAN
0,178,LA LLORONA,MICHOACAN
0,179,LA MANZANILLERA,MICHOACAN
0,180,LA SOLEDAD,MICHOACAN
0,181,LA TICLA,MICHOACAN
0,182,MANZANILLITA Y RANGEL,MICHOACAN
0,183,MARUATA,MICHOACAN
0,184,MEXCALHUACAN,MICHOACAN
0,185,MOTIN DE ORO,MICHOACAN
0,186,PALMA SOLA,MICHOACAN
